# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "2" "-p" "-a" "chr19.gtf" "-o" "raw_counts.txt" "sample1_sorted.bam" "sample2_sorted.bam" "control1_sorted.bam" "control2_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	sample1_sorted.bam	sample2_sorted.bam	control1_sorted.bam	control2_sorted.bam
ENSMUSG00000048292	19;19;19;19;19;19;19	11804167;11804167;11805441;11806877;11806877;11811783;11815522	11806275;11806439;11806388;11807010;11807006;11811895;11816583	-;-;-;-;-;-;-	3582	0	0	0	4
ENSMUSG00000060556	19;19;19;19	11829951;11832294;11834058;11837932	11833378;11833365;11834176;11838430	-;-;-;-	4046	0	0	0	0
ENSMUSG00000108966	19	11841800	11841998	-	199	0	0	0	0
ENSMUSG00000067545	19;19;19;19;19;19	11845977;11845996;11847510;11851991;11851991;11852234	11848583;11848583;11848669;11852100;11852470;11852453	-;-;-;-;-;-	3173	1	3	3	3
ENSMUSG00000051548	19	11854979	11855722	-	744	472	672	563	892
ENSMUSG00000060878	19;19;19;19;19;19;19;19	11863929;11863950;11870064;11870064;11872971;11873039;11873039;11874060	11864468;11864468;11870116;11870116;11874414;11875443;11873115;11875443	+;+;+;+;+;+;+;+	3066	0	5	3	1
ENSMUSG00000046139	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	11889763;11889807;11891712;11891712;11897542;11897542;11898169;11898169;11898733;11898733;11899285;11899831;11899831;11900751;11900751;11901165;11901165;11902501;11902501;11907239;11907239;11908897;11908897;11909502;11909502;11911044;11911044;11913043;11913043;11914584;11914584;11917048;11917048;11919993;11919993;11920189;11920189;11920695;11920695	11889941;11889941;11891823;11891823;11897759;11897759;11898249;11898249;11898927;11898927;11899358;11899932;11899932;11900840;11900840;11901382;11901382;11902590;11902590;11907419;11907419;11909020;11909020;11909599;11909599;11911103;11911103;11913191;11913191;11914743;11914743;11917203;11917203;11920084;11920084;11920338;11920338;11921367;11922455	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4290	142	192	207	240
ENSMUSG00000104979	19	11901092	11901164	+	73	0	0	0	0
ENSMUSG00000077227	19	11910859	11910992	-	134	0	0	0	0
ENSMUSG00000024687	19;19;19;19;19;19;19;19;19;19;19;19;19;19	11943305;11948051;11951022;11955166;11955601;11955995;11956233;11961268;11961756;11965713;11966569;11967965;11968959;11969264	11943660;11948259;11951272;11955364;11955703;11956049;11956364;11961513;11961876;11965816;11966664;11968146;11969179;11971476	+;+;+;+;+;+;+;+;+;+;+;+;+;+	4488	114	151	203	210
ENSMUSG00000109030	19	11997539	11997746	+	208	0	0	0	0
ENSMUSG00000109047	19	11997869	11997926	-	58	0	0	0	0
ENSMUSG00000108947	19;19	11997978;11998451	11998043;11999127	-;-	743	0	0	0	0
ENSMUSG00000109223	19	12004010	12004284	-	275	0	0	0	0
ENSMUSG00000067529	19;19;19;19;19	12009151;12013172;12016180;12017863;12018533	12014132;12014104;12016293;12018187;12018681	-;-;-;-;-	5570	2	9	3	2
ENSMUSG00000109417	19	12015095	12015188	+	94	0	0	0	0
ENSMUSG00000067528	19;19;19;19	12035988;12036173;12039467;12039638	12037224;12037114;12039534;12040046	-;-;-;-	1714	0	0	0	0
ENSMUSG00000067526	19;19;19;19	12050598;12051059;12054454;12054610	12052236;12051997;12054506;12055095	-;-;-;-	2178	0	0	0	0
ENSMUSG00000044994	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	12064110;12064110;12064110;12064110;12064110;12064110;12064116;12066809;12066809;12066809;12066809;12066856;12066856;12067747;12068923;12069047;12069047;12069047;12069047;12069047	12066310;12066979;12066314;12066314;12066314;12066314;12066310;12066979;12066979;12066979;12066979;12066979;12066979;12067806;12069012;12069377;12069234;12069224;12069216;12069224	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3351	0	1	1	0
ENSMUSG00000067525	19;19;19;19;19;19;19	12075370;12075370;12075370;12076066;12080496;12080496;12080496	12077029;12078508;12076452;12077003;12080698;12080698;12080698	-;-;-;-;-;-;-	3342	0	0	0	0
ENSMUSG00000067524	19;19;19;19;19;19;19;19	12085080;12085080;12085964;12086808;12088428;12088439;12093126;12093126	12086129;12086932;12086908;12086936;12088565;12088565;12093187;12093261	-;-;-;-;-;-;-;-	2131	0	0	0	0
ENSMUSG00000067522	19;19;19;19;19;19;19;19;19;19	12095360;12095360;12095360;12097017;12099444;12099444;12099444;12100280;12100280;12100280	12098071;12097974;12098012;12098064;12099618;12099618;12099618;12100567;12100560;12100560	-;-;-;-;-;-;-;-;-;-	3175	0	0	1	1
ENSMUSG00000108889	19;19;19;19	12141788;12141874;12147245;12147245	12144473;12144470;12147476;12147438	-;-;-;-	2918	1	2	1	1
ENSMUSG00000109410	19	12154971	12155887	-	917	0	0	0	0
ENSMUSG00000094133	19;19;19;19;19;19;19;19;19	12177998;12178169;12180303;12182744;12182744;12186913;12186913;12186932;12188120	12178301;12178301;12180485;12182797;12182797;12187299;12189555;12187870;12189555	+;+;+;+;+;+;+;+;+	3184	2	0	0	0
ENSMUSG00000109022	19;19;19	12205119;12205979;12209704	12206929;12206908;12209960	-;-;-	2068	1	5	1	1
ENSMUSG00000025223	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	46020009;46021032;46021033;46021055;46021128;46021864;46022184;46022471;46022471;46022471;46022471;46022477;46022490;46022828;46022828;46022828;46022828;46022828;46022828;46022828;46023050;46023050;46023050;46023050;46023050;46023050;46023050;46023050;46023263;46023263;46023263;46023263;46023263;46023263;46023263;46023263;46023860;46023860;46023860;46023860;46023860;46023860;46023860;46024174;46024174;46024174;46024174;46024174;46024174;46024174;46024363;46024363;46024363;46024363;46024363;46024363;46024546;46024546;46024546;46024546;46024546;46024546;46024702;46024702;46024702;46024702;46024702;46024702;46027494;46027494;46033269;46033269;46033269;46033269	46021780;46021780;46021780;46021780;46021780;46022619;46022951;46022619;46022619;46022619;46022619;46022619;46022619;46022951;46022951;46022951;46022951;46022951;46022951;46022951;46023133;46023133;46023133;46023133;46023133;46023133;46023133;46023133;46023385;46023385;46023385;46023317;46023385;46023385;46023385;46023385;46024032;46024032;46024032;46024032;46024032;46024032;46024032;46024276;46024439;46024276;46024276;46024276;46024276;46024276;46024438;46024438;46024438;46024438;46024438;46024438;46024590;46024590;46024590;46024590;46024590;46024590;46024804;46024804;46024804;46024804;46024804;46024804;46027920;46028060;46033650;46033353;46033653;46033649	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4606	263	430	580	619
ENSMUSG00000067519	19	12218085	12219023	-	939	0	0	0	0
ENSMUSG00000097646	19	12224855	12225010	-	156	2	1	3	2
ENSMUSG00000060049	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	12238396;12238398;12238401;12238527;12239392;12239392;12240323;12240323;12241335;12245527;12245577;12245577;12245577;12245577;12245577	12238568;12239490;12238568;12238568;12239490;12239490;12240513;12240513;12241399;12246605;12247751;12247751;12247751;12247751;12247751	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3576	0	0	0	0
ENSMUSG00000118093	19;19	12250375;12250874	12250622;12251974	+;+	1349	518	519	827	690
ENSMUSG00000095640	19;19;19;19;19	12257218;12257303;12260348;12260395;12260398	12257335;12257343;12261576;12262990;12260793	+;+;+;+;+	2769	0	0	0	0
ENSMUSG00000109433	19	12267422	12267670	-	249	0	0	0	0
ENSMUSG00000067513	19	12275547	12276494	-	948	0	0	0	0
ENSMUSG00000109229	19	12292238	12292391	-	154	0	0	0	0
ENSMUSG00000096436	19;19;19	12296571;12299251;12302357	12300212;12300427;12302465	-;-;-	3966	1	1	1	3
ENSMUSG00000109328	19;19	12306786;12312958	12311229;12313274	-;-	4761	0	1	1	1
ENSMUSG00000109007	19;19	12317102;12317858	12317288;12318494	-;-	824	0	0	0	0
ENSMUSG00000046650	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	12364643;12364650;12364652;12364652;12364664;12364664;12364664;12365841;12365841;12365841;12371609;12371609;12371609;12371609;12371609;12371629;12372615;12372615;12372615;12373774;12373774;12373774	12364786;12364786;12364786;12364786;12364786;12364786;12364786;12365965;12365907;12365965;12371996;12378948;12372697;12378948;12378948;12372576;12378948;12372697;12372697;12378948;12378948;12378948	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7609	0	2	8	5
ENSMUSG00000050815	19;19;19;19;19;19;19;19;19	12394797;12394919;12395210;12395210;12397652;12397652;12399097;12399156;12399629	12394934;12394934;12395270;12395270;12397805;12397815;12400933;12400933;12400716	+;+;+;+;+;+;+;+;+	2200	2	2	0	0
ENSMUSG00000040065	19;19	12405269;12405701	12405412;12409474	+;+	3918	1	0	0	0
ENSMUSG00000046805	19;19	12438143;12438397	12438225;12442647	+;+	4334	390	99	70	36
ENSMUSG00000039982	19;19;19;19;19;19;19;19;19	12443702;12450594;12455490;12459438;12460410;12462628;12463793;12469200;12478371	12447073;12450683;12455651;12459590;12460471;12462789;12463854;12469914;12478818	-;-;-;-;-;-;-;-;-	5226	231	317	206	387
ENSMUSG00000086213	19;19;19;19;19;19;19	12495279;12497113;12500606;12563232;12563590;12573302;12573302	12496188;12497231;12500793;12563708;12563708;12573930;12573883	-;-;-;-;-;-;-	2323	1	3	2	6
ENSMUSG00000114644	19;19	12497164;12500620	12497290;12500940	+;+	448	0	0	0	0
ENSMUSG00000111118	19	12506119	12507904	-	1786	2	8	7	0
ENSMUSG00000114761	19;19	12516952;12518074	12517312;12518187	-;-	475	0	0	0	0
ENSMUSG00000055491	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	46033325;46044978;46045020;46045023;46045271;46045271;46045303;46045675;46045698;46049842;46049842;46049842;46049842;46049842;46049842;46049842;46049842;46049842;46050580;46050583;46050583;46050583;46050583;46050583;46050583;46050841;46050841;46050841;46050841;46050841;46051051;46051051;46051051;46051051;46051051;46051051;46054103;46054103;46054103;46055668;46055668;46055668;46056273;46056457;46056460;46057478;46057478;46057478;46059716;46059716;46059958;46059958;46060141;46060141;46060193;46060622;46060622;46060622;46060743;46060988;46060988;46060988	46033501;46045182;46045182;46045182;46045298;46045599;46045332;46045798;46045798;46050015;46050015;46050015;46049897;46050015;46050015;46050015;46050015;46050015;46050729;46050729;46050729;46050729;46050729;46050636;46050729;46050942;46050877;46050942;46050933;46050942;46051083;46051242;46051067;46053919;46053919;46053919;46054156;46054156;46054156;46055725;46055725;46055725;46056527;46056527;46056527;46057527;46058207;46058207;46059850;46059850;46060024;46060024;46060262;46060262;46060262;46061240;46060773;46060773;46060773;46061348;46061354;46061350	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6284	197	243	251	427
ENSMUSG00000024691	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	12523104;12541918;12545562;12545562;12550878;12550887;12550894;12550895;12554454;12554454;12554454;12554454;12561287;12561287;12561287;12564199;12564199;12564199	12523219;12542014;12546191;12546191;12550944;12550944;12550944;12550944;12554534;12554534;12554534;12554534;12561486;12561486;12561327;12567126;12567132;12567124	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4125	47	30	51	19
ENSMUSG00000084836	19	12545599	12546190	-	592	0	0	0	0
ENSMUSG00000071633	19;19;19;19;19;19;19;19;19;19;19;19	12577338;12577380;12590830;12590830;12595690;12595690;12600968;12600968;12601907;12601907;12604078;12604078	12577453;12577547;12590925;12590925;12595797;12595797;12601094;12601094;12602081;12602081;12605615;12604237	+;+;+;+;+;+;+;+;+;+;+;+	2254	3	2	4	9
ENSMUSG00000063683	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	12610672;12610879;12610879;12610897;12611786;12616856;12617136;12617136;12617136;12617136;12623667;12623667;12623667;12623667;12625367;12625367;12625367;12625367;12627621;12627621;12627621;12628593;12628593	12610970;12610970;12610970;12610970;12612471;12617047;12617230;12617267;12617230;12617230;12623774;12623774;12623774;12623774;12625493;12625493;12625874;12625493;12627788;12627792;12627792;12631275;12630613	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4780	8	6	4	3
ENSMUSG00000065892	19	12642619	12642725	+	107	3	6	6	3
ENSMUSG00000044441	19;19;19;19;19;19;19;19;19;19	12647803;12647820;12647938;12648388;12648388;12648388;12651543;12651543;12651543;12651543	12648076;12648214;12648233;12648486;12648486;12648486;12652607;12654295;12654641;12654295	+;+;+;+;+;+;+;+;+;+	3629	0	2	1	3
ENSMUSG00000045030	19;19;19;19;19;19;19;19;19;19;19	12655476;12655487;12655530;12655903;12656448;12656448;12656448;12657445;12657445;12657445;12660289	12655999;12655511;12655999;12655999;12656549;12656549;12656549;12661215;12661215;12658843;12661207	+;+;+;+;+;+;+;+;+;+;+	4397	0	0	0	0
ENSMUSG00000109309	19	12659135	12659279	+	145	0	0	0	0
ENSMUSG00000024694	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	12673150;12673151;12673157;12673157;12673168;12673178;12673178;12686961;12686961;12686961;12686961;12686961;12686961;12686961;12688346;12688346;12688346;12688376;12688376;12688376;12691871;12691871;12691871;12691871;12691871;12691871;12691871;12693262;12693262;12693262;12693262;12693262;12696144;12696144;12696273	12673205;12673205;12673205;12673205;12673205;12673205;12673205;12687050;12688453;12687050;12687050;12687050;12687050;12687114;12688453;12688453;12688453;12688453;12688453;12688453;12691997;12692195;12692117;12691997;12691997;12691997;12691997;12693433;12695928;12693433;12693411;12693433;12696371;12697266;12696481	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5664	0	0	0	0
ENSMUSG00000084981	19;19;19;19;19;19;19;19	12683419;12693154;12695487;12695487;12695836;12695836;12698461;12698461	12683547;12693527;12695666;12695666;12695880;12695880;12698611;12698567	-;-;-;-;-;-;-;-	879	0	1	0	2
ENSMUSG00000079415	19;19	12741024;12742645	12741744;12742996	-;-	1073	1	1	1	1
ENSMUSG00000118491	19;19;19;19;19;19;19;19;19;19;19;19;19	12741024;12742645;12747541;12748367;12752184;12753359;12753776;12754224;12755306;12755988;12756257;12767624;12772348	12741744;12742770;12747913;12748466;12752298;12753437;12753826;12754358;12755410;12756024;12756463;12767652;12773490	-;-;-;-;-;-;-;-;-;-;-;-;-	3221	0	0	0	0
ENSMUSG00000024695	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	12744384;12748367;12748875;12752184;12753359;12753359;12753776;12754224;12754224;12755306;12755306;12755988;12755988;12756257;12756257;12767624;12767624;12772348	12747913;12748466;12752298;12752298;12753826;12753437;12753826;12754358;12754358;12755410;12755410;12756024;12756024;12756463;12756463;12767673;12767652;12773490	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	9199	210	342	470	346
ENSMUSG00000015176	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	46064302;46064319;46064380;46064391;46064409;46064428;46064452;46064471;46064493;46066115;46067142;46067142;46067142;46067142;46067142;46067142;46067142;46067142;46067297;46067312;46067312;46067312;46067312;46067312;46067315;46067315;46067570;46067570;46067570;46067570;46067570;46067570;46067570;46067570;46067570;46068347;46068347;46068347;46068347;46068350;46068350;46068350;46068350;46069743;46069743;46069743;46069743;46069743;46069743;46069980;46069980;46069980;46069980;46069980;46069980;46070687;46070687;46070687;46070687;46070687;46070687;46070955;46070955;46070955;46070955;46070955;46070955;46071179;46071179;46071179;46071179;46071179;46071959;46071959;46071959;46071959;46071959;46072190;46072190;46072190;46072190;46072190;46072451;46072451;46072451;46072451;46072451	46064588;46064588;46064588;46064588;46064588;46064588;46064588;46064588;46064588;46066222;46067197;46067197;46067197;46067197;46067460;46067197;46067197;46067197;46067460;46067460;46067460;46067460;46067460;46067460;46067460;46067460;46067697;46067697;46067697;46067697;46067697;46067697;46067666;46067697;46067697;46068524;46068524;46068524;46068469;46068384;46068524;46068524;46068524;46069861;46069861;46069861;46069861;46069861;46069861;46070115;46070115;46070115;46070115;46070115;46070115;46070815;46070815;46070815;46070815;46070815;46070815;46071065;46071065;46071782;46071065;46071065;46071065;46071802;46071802;46071802;46071802;46071802;46072065;46072065;46072065;46072065;46072065;46072282;46072282;46072282;46072282;46072282;46073967;46072900;46072900;46073969;46073392	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3971	755	969	955	1237
ENSMUSG00000117703	19;19	46113369;46119531	46113402;46119910	+;+	414	0	0	0	0
ENSMUSG00000038754	19;19;19;19;19;19;19;19	46120336;46120336;46121563;46121563;46122440;46122440;46122814;46122814	46120706;46120612;46121694;46121694;46122591;46122591;46124133;46123751	+;+;+;+;+;+;+;+	1975	0	0	0	0
ENSMUSG00000024696	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	12773557;12775961;12781297;12781297;12788584;12788584;12796700;12796700;12801308;12801308;12802163;12802163;12802454;12802454;12809972;12809972;12810449;12810449	12773662;12776043;12781454;12781454;12788630;12788630;12796799;12796799;12801475;12801475;12802336;12802336;12802535;12802535;12810120;12810120;12811171;12811171	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1790	70	52	31	20
ENSMUSG00000091014	19	12824046	12824788	+	743	422	394	514	398
ENSMUSG00000025229	19;19;19;19;19;19;19;19;19	46124124;46124934;46125422;46125422;46125471;46125804;46125804;46129381;46136640	46125044;46125044;46125624;46125728;46125624;46125933;46125933;46129422;46136765	-;-;-;-;-;-;-;-;-	1526	0	0	2	0
ENSMUSG00000046272	19;19;19	12834647;12839106;12839129	12834842;12840234;12840804	+;+;+	1895	0	0	0	0
ENSMUSG00000045126	19	12861219	12862219	+	1001	0	0	0	0
ENSMUSG00000057817	19;19;19;19;19;19	12865630;12866979;12867671;12868823;12870796;12870796	12867953;12868022;12867953;12868932;12870888;12870888	-;-;-;-;-;-	2596	0	0	1	0
ENSMUSG00000060303	19;19;19;19;19;19;19	12876798;12878113;12878814;12880653;12880653;12880984;12880984	12879156;12879225;12879159;12880755;12880755;12881094;12881107	-;-;-;-;-;-;-	2655	0	0	0	0
ENSMUSG00000048456	19;19;19;19;19;19;19;19;19;19;19	12894025;12894162;12894162;12896727;12898081;12898081;12898081;12898290;12901445;12901445;12901665	12897690;12897690;12897690;12897671;12898154;12898411;12898411;12898411;12901783;12901783;12901783	-;-;-;-;-;-;-;-;-;-;-	4336	1	0	0	1
ENSMUSG00000049498	19;19;19;19;19;19;19;19;19;19	12908204;12908209;12908231;12908747;12908750;12908750;12912086;12912086;12912086;12912101	12908399;12908399;12908274;12908823;12908823;12908823;12913116;12913116;12913116;12913048	+;+;+;+;+;+;+;+;+;+	1304	0	0	0	0
ENSMUSG00000062892	19;19;19;19;19	12927622;12930229;12930937;12930937;12930955	12927862;12930266;12933770;12933770;12931932	+;+;+;+;+	3113	0	0	0	0
ENSMUSG00000094986	19;19;19;19;19;19;19	13037974;13037995;13038043;13040535;13040749;13040749;13040777	13038106;13038270;13038270;13044521;13044521;13044521;13041700	+;+;+;+;+;+;+	4284	0	0	1	0
ENSMUSG00000109126	19	13046271	13047041	+	771	0	0	0	0
ENSMUSG00000067482	19	13056182	13056699	-	518	0	0	0	0
ENSMUSG00000061637	19;19;19;19;19;19;19;19;19	13070743;13070743;13072057;13072320;13074863;13074863;13074863;13075048;13075048	13073010;13072498;13073010;13072568;13074924;13074924;13074935;13075255;13075176	-;-;-;-;-;-;-;-;-	2549	0	0	1	0
ENSMUSG00000062844	19;19;19;19	13078957;13079743;13082053;13084036	13080700;13080648;13082118;13084139	-;-;-;-	1914	0	0	0	0
ENSMUSG00000057503	19;19;19;19;19;19;19	13115385;13115385;13123006;13126607;13126607;13126780;13126780	13122292;13124049;13124107;13126678;13126678;13126913;13126896	-;-;-;-;-;-;-	8929	25	20	27	23
ENSMUSG00000109230	19	13411511	13412459	-	949	0	0	0	0
ENSMUSG00000096320	19;19;19;19;19;19;19;19;19;19;19;19;19	13420773;13420890;13420890;13420936;13421273;13421273;13421273;13422346;13422346;13422378;13422418;13422418;13426870	13421108;13421108;13421108;13421108;13421382;13421563;13421382;13423543;13423554;13423322;13423554;13423259;13428891	+;+;+;+;+;+;+;+;+;+;+;+;+	3858	0	0	1	1
ENSMUSG00000095189	19;19;19	13430644;13430935;13433342	13431911;13431879;13433450	-;-;-	1377	0	0	0	0
ENSMUSG00000109573	19	13440042	13440999	-	958	0	0	0	0
ENSMUSG00000096273	19;19;19;19;19;19;19	13446929;13447229;13447444;13447467;13448304;13448336;13448376	13447063;13447338;13447519;13447519;13449521;13449280;13448796	+;+;+;+;+;+;+	1539	0	0	0	0
ENSMUSG00000096708	19	13456616	13457560	-	945	0	0	0	0
ENSMUSG00000109189	19	13465715	13466081	+	367	0	0	0	0
ENSMUSG00000071629	19;19;19;19	13477910;13478481;13479684;13479684	13478036;13478520;13483556;13483556	+;+;+;+	4040	0	0	0	0
ENSMUSG00000025224	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	46140948;46140969;46140987;46141012;46141019;46151959;46151959;46151959;46151959;46159096;46159096;46159096;46159096;46159096;46234527;46234528;46234528;46234528;46234528;46240553;46240553;46240553;46240553;46242426;46242426;46242426;46242426;46242506;46242996;46242996;46242996;46242996;46242996;46244092;46244092;46244092;46244092;46244092;46244847;46247543;46247543;46247543;46247543;46248012;46248012;46248012;46248012;46249152;46249152;46249152;46250060;46250060;46250060;46250873;46250873;46250873;46253218;46253218;46253218;46253617;46253617;46253617;46254026;46254026;46254026;46254464;46254464;46254464;46254531;46255642;46255642;46255642;46255642;46256432;46256432;46256432;46256432;46256830;46256830;46256859;46257218;46257218;46257218;46257236;46258157;46258184;46258184;46258184;46258184;46258697;46258697;46259113;46259113;46259113;46259994;46259994;46259994;46260146;46260146;46260146;46260425;46260425;46260425;46260614;46260614;46260614;46260940;46260940;46260940;46267649;46267649;46268312;46268351;46268351;46268616;46268616;46268616;46268619;46268774;46268977;46268977;46268977;46268977;46268977;46271282;46271440;46271474;46271474;46271474;46271474;46271759;46271759;46271759;46271759;46271759;46271759;46272061;46272061;46272061;46272061;46272061;46272444;46272444;46272444;46272689;46272689;46273002;46273144;46273144;46274099;46274099;46274099	46141231;46141231;46141231;46141231;46141231;46152064;46152064;46152064;46152064;46160955;46159162;46159162;46159162;46159162;46234659;46234626;46234659;46234659;46234659;46240671;46240671;46240671;46240671;46242534;46242534;46242534;46242534;46242534;46243056;46243056;46243056;46243056;46243056;46244146;46244146;46244146;46244436;46244146;46244921;46247690;46247690;46247690;46247690;46248204;46248235;46248235;46248235;46249317;46249317;46249317;46250271;46250271;46250271;46250971;46250971;46250971;46253412;46253412;46253412;46253806;46253806;46253806;46254166;46254166;46254166;46254552;46254552;46254552;46254552;46255844;46255844;46255844;46255844;46256555;46256555;46256625;46256555;46256955;46256955;46256955;46257300;46257300;46257300;46257300;46259289;46258420;46258236;46258420;46258420;46258790;46258790;46259150;46259289;46259289;46260058;46260058;46260058;46260269;46260269;46260269;46260496;46260496;46260496;46260708;46260708;46260708;46261833;46261093;46261093;46267874;46267874;46268511;46268511;46268511;46268862;46268862;46268862;46268862;46268862;46269170;46269182;46269448;46269170;46269182;46271359;46271624;46271624;46271624;46271624;46271624;46271889;46271889;46271889;46271924;46271889;46271889;46272379;46272162;46272121;46272162;46272162;46272465;46272557;46272557;46272869;46272869;46273272;46273272;46273272;46274419;46274948;46274949	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10855	564	1477	908	1649
ENSMUSG00000109184	19	13482689	13483079	+	391	0	0	0	0
ENSMUSG00000108887	19	13488890	13489271	+	382	0	0	0	0
ENSMUSG00000118174	19	13489919	13492502	-	2584	2	3	7	1
ENSMUSG00000095484	19;19;19;19;19;19;19;19;19;19;19;19;19	13505277;13505288;13505304;13505488;13505556;13505791;13505791;13505791;13507013;13507013;13507039;13507091;13507091	13505403;13505430;13505403;13505523;13505882;13505882;13505882;13505882;13508639;13507986;13507986;13508639;13508639	+;+;+;+;+;+;+;+;+;+;+;+;+	2144	0	0	0	0
ENSMUSG00000108945	19	13512754	13512887	+	134	0	0	0	0
ENSMUSG00000109319	19	13540400	13540577	-	178	0	0	0	0
ENSMUSG00000108974	19	13544165	13544498	+	334	0	0	0	0
ENSMUSG00000093525	19	46193819	46194297	-	479	207	242	312	328
ENSMUSG00000086816	19;19;19	46252978;46254392;46255622	46253248;46254525;46256108	-;-;-	892	0	1	0	0
ENSMUSG00000096289	19;19;19;19;19;19;19;19;19;19;19;19;19	13560875;13560875;13560875;13560875;13560875;13561329;13561329;13562644;13562644;13562644;13562670;13562722;13562722	13561020;13561020;13561020;13560949;13561020;13561471;13561471;13566196;13566196;13566196;13563617;13566196;13566196	+;+;+;+;+;+;+;+;+;+;+;+;+	3842	2	2	1	0
ENSMUSG00000109496	19	13565654	13566023	+	370	0	0	0	0
ENSMUSG00000109343	19	13571360	13571579	+	220	0	0	0	0
